user_id,first_name,last_name,email,age,gender,country,signup_date,marketing_opt_in
U000266,Casey,Garcia,casey.garcia164@outlook.com,14,female,United States,2024-12-16,yes
U000690,Chris,Allen,chris.allen@outlook.com,14,female,United States,2024-05-23,yes
U000892,Priya,Anderson,priya.anderson@gmail.com,14,,United States,2024-05-24,no
U001023,Sofia,Davis,sofia.davis9598@yahoo.com,14,male,France,2025-03-28,no
U001111,Alex,Clark,alex.clark@icloud.com,14,female,United States,2024-09-18,no
U001904,Fatima,Wilson,fatima.wilson@outlook.com,14,female,United States,2025-07-21,no
U002245,Ava,Hall,ava.hall5343@outlook.com,14,female,United States,2024-03-02,yes
U002524,Sofia,Harris,alex.walker@shoply.com,14,male,United States,2024-03-06,yes
U002589,Morgan,Adams,morgan.adams1652@icloud.com,14,female,United States,2024-01-18,yes
U002675,Casey,Brown,casey.brown3530@gmail.com,14,male,United States,2025-07-05,yes
U002788,Ava,Brown,ava.brown@proton.me,14,female,United States,2025-12-30,yes
U002850,Sophia,Rivera,sophia.rivera@gmail.com,14,female,United States,2025-11-10,no
U003466,Priya,Mitchell,priya.mitchell5261@gmail.com,14,male,United States,2025-01-03,no
U004742,Alex,Flores,alex.flores@gmail.com,14,female,Canada,2025-12-16,no
U004887,Sam,Adams,sam.adams9855@gmail.com,14,,United States,2025-07-02,yes
U005071,Cameron,Davis,cameron.davis7375@proton.me,14,male,United States,2024-09-26,yes
U005350,Chris,Adams,chris.adams@outlook.com,14,male,United States,2024-07-29,no
U005860,Ana,Gonzalez,ana.gonzalez@gmail.com,14,female,United States,2025-08-19,yes
U006418,Kendall,Martinez,kendall.martinez@icloud.com,14,nonbinary,United States,2025-01-23,no
U006460,Skyler,Williams,skyler.williams@gmail.com,14,nonbinary,United States,2025-05-30,no
U006540,Priya,Mitchell,priya.mitchell2153@shoply.com,14,prefer_not_to_say,Brazil,2025-08-09,no
U006784,Ethan,Harris,ethan.harris@gmail.com,14,female,United States,2024-09-29,yes
U007002,Parker,Nguyen,parker.nguyen@gmail.com,14,male,Mexico,2025-03-20,no
U007906,Casey,Roberts,casey.roberts7860@yahoo.com,14,prefer_not_to_say,United States,2024-03-24,yes
U007984,Jamie,Clark,ethan.hill5376@proton.me,14,male,United States,2025-03-24,yes
U008204,Pat,Thompson,pat.thompson@gmail.com,14,female,Mexico,2024-05-16,yes
U008778,Wei,Mitchell,wei.mitchell5966@gmail.com,14,male,Mexico,2025-07-07,yes
U009078,Ethan,Adams,ethan.adams1305@gmail.com,14,male,United States,2025-11-04,
U009162,Min,Rivera,min.rivera9292@gmail.com,14,male,United States,2025-01-25,yes
U009363,Emerson,Smith,emerson.smith3609@yahoo.com,14,male,Canada,2025-06-20,no
U009430,Omar,Johnson,omar.johnson5155@icloud.com,14,male,United States,2024-09-14,yes
U009889,Rowan,Brown,rowan.brown2833@yahoo.com,14,male,United States,2025-10-26,yes
U000155,Riley,Jackson,riley.jackson3051@gmail.com,15,male,United States,2024-03-06,yes
U000274,Quinn,Garcia,quinn.garcia6756@icloud.com,15,male,United States,2025-04-18,no
U000441,Pat,Thompson,pat.thompson@gmail.com,15,female,United States,2025-08-30,no
U000985,Sydney,Smith,sydney.smith@proton.me,15,male,United States,2024-01-05,no
U001912,Sam,Hernandez,sam.hernandez153@yahoo.com,15,male,United States,2024-09-03,yes
U002049,Ava,Lewis,ava.lewis1253@outlook.com,15,female,United States,2024-05-11,yes
U002053,Jamie,Martin,jamie.martin6286@gmail.com,15,male,United States,2024-06-09,yes
U003064,Ava,Williams,ava.williams9652@proton.me,15,male,United States,2025-08-15,no
U004136,Avery,Brown,avery.brown1501@outlook.com,15,male,United States,2025-09-13,yes
U004260,Sofia,Allen,sofia.allen9029@gmail.com,15,male,United States,2025-08-05,yes
U004294,Drew,Nelson,drew.nelson@gmail.com,15,male,United States,2024-06-26,yes
U004436,Ana,Rodriguez,ana.rodriguez1290@yahoo.com,15,male,United States,2025-12-04,no
U004702,Fatima,Lewis,fatima.lewis@yahoo.com,15,female,United States,2024-10-03,no
U004900,Rowan,Clark,rowan.clark2075@outlook.com,15,prefer_not_to_say,Mexico,2024-03-02,no
U005040,Harper,Moore,harper.moore@yahoo.com,15,male,United Kingdom,2024-12-05,yes
U005340,Emma,Thompson,emma.thompson@outlook.com,15,male,United States,2025-09-03,yes
U005559,Rowan,Martinez,rowan.martinez@gmail.com,15,male,United States,2025-09-17,no
U005684,Emma,Mitchell,emma.mitchell@gmail.com,15,female,United States,2024-08-14,yes
U005946,Pat,Gonzalez,pat.gonzalez@gmail.com,15,prefer_not_to_say,United States,2024-06-23,no
U006041,Parker,Anderson,parker.anderson@yahoo.com,15,male,India,2025-09-06,yes
U006427,Mia,Flores,mia.flores@gmail.com,15,,Canada,2025-12-14,yes
U006517,Reese,Rodriguez,reese.rodriguez6014@yahoo.com,15,male,Mexico,2024-08-28,yes
U006581,Morgan,Rodriguez,morgan.rodriguez1028@gmail.com,15,male,Germany,2024-10-17,yes
U006713,Diego,Green,diego.green9166@gmail.com,15,male,United Kingdom,2024-01-05,no
U007283,Parker,Nelson,parker.nelson@gmail.com,15,female,United States,2024-06-17,yes
U007389,Reese,Nelson,reese.nelson@gmail.com,15,nonbinary,United States,2025-12-14,no
U007739,Hiro,Green,hiro.green@outlook.com,15,male,United States,2025-11-08,yes
U008055,Fatima,Nelson,fatima.nelson3129@shoply.com,15,female,France,2024-01-22,yes
U008185,Casey,Wilson,casey.wilson@gmail.com,15,female,United States,2025-01-23,no
U008211,Isabella,Rivera,isabella.rivera@gmail.com,15,female,United States,2024-07-01,yes
U008286,Cameron,Hill,cameron.hill@gmail.com,15,female,United States,2024-09-01,yes
U008498,Noah,Scott,noah.scott@gmail.com,15,male,United States,2024-06-26,yes
U008558,Riley,Martin,riley.martin7323@yahoo.com,15,nonbinary,United Kingdom,2024-05-04,no
U008703,Emma,Hernandez,emma.hernandez@proton.me,15,nonbinary,United States,2025-12-25,no
U008727,Skyler,Green,skyler.green@yahoo.com,15,male,United Kingdom,2025-01-31,yes
U009041,Drew,Hill,drew.hill@outlook.com,15,,United States,2025-08-01,no
U009558,Alex,Gonzalez,alex.gonzalez@icloud.com,15,male,United States,2024-12-28,
U009611,Jordan,Thomas,jordan.thomas@yahoo.com,15,female,Mexico,2025-11-07,yes
U009812,Drew,Garcia,drew.garcia@gmail.com,15,male,United States,2024-08-08,no
U000011,Sophia,Jones,sophia.jones@icloud.com,16,male,United States,2025-09-15,yes
U000026,Omar,King,omar.king5796@icloud.com,16,male,United States,2024-09-04,no
U000058,Emma,Jones,emma.jones9422@outlook.com,16,male,United States,2024-03-12,no
U000059,Sophia,Brown,sophia.brown511@yahoo.com,16,prefer_not_to_say,United States,2024-03-27,yes
U000066,Priya,Martinez,priya.martinez@gmail.com,16,male,United States,2024-12-12,no
U000071,Sydney,Flores,sydney.flores@gmail.com,16,female,United States,2024-11-14,yes
U000089,Min,Allen,min.allen@gmail.com,16,male,United States,2025-09-20,yes
U000092,Pat,Scott,pat.scott8806@yahoo.com,16,male,United Kingdom,2024-12-30,yes
U000094,Robin,Jones,robin.jones@yahoo.com,16,female,United States,2025-12-14,yes
U000110,Harper,Baker,harper.baker8542@yahoo.com,16,nonbinary,United Kingdom,2025-08-19,yes
U000125,Min,Nguyen,min.nguyen@icloud.com,16,nonbinary,United States,2025-05-12,no
U000143,Sydney,Scott,sydney.scott@gmail.com,16,male,Canada,2025-10-20,no
U000146,Riley,Hall,liam.young@gmail.com,16,male,United States,2024-01-21,no
U000213,Sydney,White,sydney.white@gmail.com,16,female,United States,2025-05-19,yes
U000216,Wei,Green,wei.green@outlook.com,16,prefer_not_to_say,United States,2024-04-03,no
U000219,Ana,Moore,skyler.ramirez5951@outlook.com,16,nonbinary,United States,2024-01-05,yes
U000220,Ana,Perez,ana.perez@outlook.com,16,male,United States,2026-01-11,yes
U000271,Amir,Scott,amir.scott3829@gmail.com,16,male,United States,2025-06-01,yes
U000272,Taylor,Torres,taylor.torres9614@yahoo.com,16,male,United States,2024-12-09,yes
U000287,Alex,Flores,alex.flores9491@yahoo.com,16,male,Australia,2024-02-10,no
U000299,Drew,Adams,drew.adams7521@gmail.com,16,female,United States,2025-07-26,yes
U000316,Lee,Jones,lee.jones@outlook.com,16,male,United States,2024-07-09,no
U000322,Taylor,Nelson,taylor.nelson@yahoo.com,16,female,Canada,2024-03-03,
U000338,Emerson,Davis,emerson.davis8961@proton.me,16,female,United States,2025-08-30,no
U000358,Hiro,Flores,hiro.flores@gmail.com,16,male,United States,2024-09-05,no
U000359,Fatima,Martinez,fatima.martinez@proton.me,16,male,United States,2024-06-07,yes
U000371,Omar,Scott,omar.scott5930@gmail.com,16,male,United States,2025-09-20,
U000376,Jamie,Taylor,jamie.taylor5200@outlook.com,16,male,India,2024-05-11,yes
U000423,Lee,Allen,lee.allen@outlook.com,16,female,United States,2024-09-17,no
U000427,Quinn,Young,quinn.young89@yahoo.com,16,female,United States,2024-04-26,no
U000470,Dana,Harris,dana.harris@yahoo.com,16,female,United States,2025-04-28,yes
U000482,Harper,Rodriguez,harper.rodriguez@yahoo.com,16,female,United States,2025-12-23,yes
U000496,Casey,Lee,casey.lee4519@gmail.com,16,female,Australia,2026-01-09,no
U000497,Quinn,Adams,quinn.adams3668@yahoo.com,16,,United Kingdom,2025-11-22,no
U000505,Wei,Martin,wei.martin6808@gmail.com,16,female,United States,2026-01-03,no
U000513,Omar,Lewis,omar.lewis3903@gmail.com,16,male,United States,2024-12-31,yes
U000521,Alex,Flores,alex.flores@gmail.com,16,male,United States,2024-01-04,yes
U000534,Robin,Perez,robin.perez134@yahoo.com,16,nonbinary,United States,2025-11-18,yes
U000549,Ava,Nguyen,ava.nguyen4899@gmail.com,16,female,United States,2025-06-06,yes
U000555,Riley,Ramirez,riley.ramirez6796@gmail.com,16,prefer_not_to_say,United States,2025-01-27,no
U000560,Hiro,Carter,hiro.carter@gmail.com,16,female,Canada,,no
U000564,Liam,Wright,liam.wright@outlook.com,16,female,United States,2024-05-18,yes
U000579,Avery,Clark,avery.clark@shoply.com,16,prefer_not_to_say,United States,2025-10-17,yes
U000582,Lee,Thompson,lee.thompson@outlook.com,16,male,United States,2025-05-07,no
U000591,Alex,Davis,alex.davis576@gmail.com,16,male,United States,2024-11-29,yes
U000606,Jamie,Nelson,jamie.nelson@gmail.com,16,male,United States,2024-02-03,yes
U000624,Omar,Taylor,omar.taylor@gmail.com,16,male,United States,2025-08-09,yes
U000630,Parker,Wright,parker.wright@yahoo.com,16,male,United States,2024-03-30,yes
U000633,Pat,Campbell,pat.campbell@outlook.com,16,male,United States,2024-03-23,yes
U000638,Jesse,Wilson,jesse.wilson1811@gmail.com,16,female,United States,2024-03-09,no
U000640,Hiro,Anderson,hiro.anderson8199@shoply.com,16,male,Australia,2024-08-20,yes
U000642,Jamie,Clark,jamie.clark@icloud.com,16,female,United States,2025-12-02,yes
U000643,Cameron,Harris,cameron.harris3394@outlook.com,16,female,United States,2025-04-09,yes
U000657,Drew,Perez,drew.perez@gmail.com,16,male,Mexico,2025-05-22,yes
U000670,Ava,Adams,ava.adams7073@outlook.com,16,female,United States,2024-11-21,yes
U000681,Priya,Perez,priya.perez@yahoo.com,16,male,United States,2024-10-26,yes
U000683,Taylor,Johnson,taylor.johnson4344@yahoo.com,16,,United Kingdom,2024-12-29,yes
U000685,Pat,Hernandez,pat.hernandez@gmail.com,16,male,United States,2024-05-19,yes
U000725,Jesse,Green,jesse.green@gmail.com,16,female,United States,2024-07-06,no
U000733,Harper,Green,harper.green@gmail.com,16,female,United States,2024-06-14,yes
U000767,Fatima,Hill,fatima.hill7150@icloud.com,16,female,United Kingdom,2025-10-03,yes
U000782,Ava,Miller,ava.miller3678@gmail.com,16,prefer_not_to_say,United States,2025-06-14,no
U000803,Hiro,Davis,hiro.davis3543@gmail.com,16,female,United States,2024-08-02,yes
U000818,Drew,King,drew.king4517@gmail.com,16,male,Mexico,2025-07-10,no
U000819,Sam,Robinson,sam.robinson9129@outlook.com,16,male,Mexico,2024-11-22,yes
U000836,Diego,Williams,diego.williams@gmail.com,16,male,United States,2024-12-23,yes
U000845,Morgan,Martinez,morgan.martinez5553@proton.me,16,female,Mexico,2024-10-10,no
U000854,Avery,Wright,avery.wright7980@icloud.com,16,female,United States,2025-11-24,yes
U000856,Sophia,Johnson,sophia.johnson7765@gmail.com,16,male,United States,2024-01-21,
U000862,Mia,Hernandez,mia.hernandez@outlook.com,16,male,United States,2024-02-14,yes
U000870,Avery,Carter,avery.carter6073@gmail.com,16,male,United States,2025-08-01,yes
U000876,Sophia,Martinez,sophia.martinez3012@gmail.com,16,male,United States,2025-03-21,yes
U000916,Olivia,Roberts,olivia.roberts@gmail.com,16,male,United States,2024-01-25,no
U000918,Ava,Hall,ava.hall8127@gmail.com,16,female,United Kingdom,2024-09-12,yes
U000941,Jesse,Williams,jesse.williams@outlook.com,16,female,United States,2024-03-27,yes
U000945,Fatima,Davis,fatima.davis@gmail.com,16,female,United States,2025-04-13,yes
U000951,Sofia,Davis,sofia.davis6638@gmail.com,16,female,United States,2024-12-28,no
U000960,Jesse,Harris,jesse.harris1740@gmail.com,16,female,United States,2025-03-02,yes
U001000,Dana,Walker,reese.thompson@outlook.com,16,male,United States,2025-04-18,no
U001008,Cameron,Davis,cameron.davis@yahoo.com,16,female,United States,2025-06-07,yes
U001034,Ethan,Allen,ethan.allen2100@yahoo.com,16,male,United States,2024-08-12,no
U001036,Emerson,King,emerson.king4197@icloud.com,16,male,United States,2024-10-11,yes
U001078,Amir,Johnson,amir.johnson1872@gmail.com,16,male,United States,2025-04-12,yes
U001085,Sofia,Wright,sofia.wright@proton.me,16,male,France,2024-10-08,yes
U001095,Jordan,Rivera,jordan.rivera@outlook.com,16,female,United Kingdom,2024-11-02,yes
U001105,Reese,Thomas,reese.thomas@yahoo.com,16,,United States,2024-08-03,yes
U001120,Riley,Perez,riley.perez9873@gmail.com,16,female,United States,2025-08-05,no
U001121,Priya,Mitchell,priya.mitchell@yahoo.com,16,male,United States,2024-08-07,yes
U001139,Riley,Garcia,riley.garcia6098@gmail.com,16,female,United States,2024-02-02,yes
U001174,Lucas,Williams,lucas.williams@gmail.com,16,male,United States,2024-01-06,no
U001177,Pat,Robinson,pat.robinson@yahoo.com,16,male,United States,2025-12-11,yes
U001179,Taylor,Scott,taylor.scott5472@proton.me,16,male,United States,2025-10-14,
U001186,Avery,Campbell,avery.campbell@yahoo.com,16,female,United States,2024-07-07,no
U001187,Emma,Nguyen,emma.nguyen@icloud.com,16,female,United States,2025-07-30,no
U001204,Jamie,Sanchez,jamie.sanchez1298@gmail.com,16,female,United States,2025-01-13,no
U001213,Diego,Martin,diego.martin@yahoo.com,16,female,United States,2025-02-08,yes
