user_id,first_name,last_name,email,age,gender,country,signup_date,marketing_opt_in
U000001,Jamie,Gonzalez,jamie.gonzalez@icloud.com,53,male,AU,2025-02-02,no
U000002,Olivia,Williams,olivia.williams@icloud.com,50,male,Canada,2025-05-10,yes
U000003,Reese,Green,reese.green9037@icloud.com,41,female,Canada,2025-10-24,
U000004,Logan,Carter,LOGAN.CARTER6860@GMAIL.COM,38,female,  France ,2024-04-06,yes
U000005,CASEY,Torres,casey.torres@gmail.com,43,female,MX,2025-07-22,no
U000006,Lucas,allen,lucas.allen@gmail.com,38,male,US,2025-03-18,no
U000007,  Fatima ,Hill,fatima.hill@gmail.com,54,female,United states ,2025-10-29,no
U000008,SAM,martin,sam.martin2381@outlook.com,35,female,U.S.,2025-06-20,yes
U000009,Alex,Martinez,alex.martinez9345@proton.me,43,male, US  ,2025-12-11,no
U000010,Chris ,nguyen,chris.nguyen1953@yahoo.com  ,36,female,US,,yes
U000011,Sophia,Jones,sophia.jones@icloud.com,16,male,US,2025-09-15,yes
U000012,Noah,Adams,noah.adams@outlook.com,33,male,usa,2025-07-09,yes
U000013,Lee,Johnson,lee.johnson@outlook.com ,29,female,US,2024-10-12,
U000014,Omar,Martinez,omar.martinez4650@icloud.com,23,female,DE,2025-12-24,no
U000015,  Sofia,ROBERTS,sofia.roberts@outlook.com,27,male,US,2024-12-10,no
U000016,CASEY,young,casey.young6603@icloud.com,36,male,US,2025-01-21,no
U000017,Sophia,Hill,sophia.hill@yahoo.com,31,female,  CA    ,2025-07-29,yes
U000018,Sofia,Taylor,sofia.taylor7549@yahoo.com,30,female,CA,2025-01-01,no
U000019,Reese,  Gonzalez ,reese.gonzalez3002@gmail.com,56,male,U.S.,2024-08-13,no
U000020,  Ana,Garcia,ANA.GARCIA1740@GMAIL.COM,41,,US,2024-09-13,no
U000021,  Reese,Martin,reese.martin6709@gmail.com,60,female,usa,2024-06-21,no
U000022,Casey,Hall,casey.hall5126@yahoo.com  ,41,male,US,2025-04-01,no
U000023,Skyler,Davis,skyler.davis@icloud.com,24,male,US,2024-12-10,no
U000024,Sophia,Roberts,sophia.roberts8468@gmail.com,33,male,Mexico,2025-10-05,no
U000025,Emma,Sanchez,emma.sanchez4461@gmail.com,72,male,United States,2025-02-17,no
U000026,OMAR,  King,OMAR.KING5796@ICLOUD.COM  ,16,male,US,2024-09-04,no
U000027,Logan   ,Anderson,logan.anderson5766@gmail.com,41,female,UNITED STATES,2024-03-29,yes
U000028,Jordan,Scott,jordan.scott@gmail.com,41,male,MX,2025-06-14,yes
U000029,yara,Martin,yara.martin421@gmail.com,38,female,US,2024-03-28,no
U000030,Yara,Taylor,yara.taylor@icloud.com,31,female,US,2025-01-20,no
U000031,Emerson,clark  ,emerson.clark@gmail.com,57,male,US,2025-08-05,yes
U000032,Diego,Wilson,diego.wilson8813@yahoo.com,48,male,us,2025-06-19,yes
U000033,Yara,ramirez,yara.ramirez5290@gmail.com,36,female,MX,2025-10-19,no
U000034,Amir,Gonzalez,amir.gonzalez@yahoo.com  ,33,female,US,2024-08-06,no
U000035,Kendall,Rodriguez,kendall.rodriguez@outlook.com,47,,US,2024-03-25,yes
U000036,Omar,Nelson,omar.nelson@gmail.com,31,female,US,2024-08-18,yes
U000037,Liam,Allen,liam.allen@icloud.com  ,42,female,US,2024-10-06,yes
U000038,Sofia,White,sofia.white@gmail.com,21,male,United States,2024-07-15,yes
U000039,Robin,Thompson,dana.anderson@yahoo.com,37,female,usa,2024-12-07,yes
U000040,SYDNEY,  King ,sydney.king@gmail.com,35,male,US,2024-04-27,no
U000041,parker,Lopez,parker.lopez@outlook.com,27,female,MX,2024-06-28,yes
U000042,Jesse,Williams,jesse.williams7375@shoply.com,45,male,Canada,2025-02-02,yes
U000043,Ana,Rodriguez,ana.rodriguez@outlook.com,33,female,UK,2025-04-01,no
U000044,Pat,King,pat.king@gmail.com ,33,prefer_not_to_say,US,2024-09-29,yes
U000045,Rowan    ,Wright,rowan.wright6827@icloud.com,43,male,usa,2025-12-18,no
U000046,morgan,Baker,morgan.baker3574@gmail.com,39,male,US,2025-09-02,no
U000047,OMAR,Nelson,omar.nelson@outlook.com,58,female,U.S.,2025-11-16,no
U000048,alex,Ramirez,alex.ramirez@gmail.com,27,female,CA,2024-03-30,no
U000049,KENDALL,Carter,kendall.carter5167@gmail.com,33,female,United Kingdom,2025-10-27,yes
U000050,Ava,garcia,AVA.GARCIA5680@GMAIL.COM ,43,female,US,2025-11-19,yes
U000051,Wei,roberts,wei.roberts@icloud.com,31,male,US,2025-09-05,yes
U000052, Sydney  ,Flores,sydney.flores56@outlook.com,32,male,US,03-45-2025,yes
U000053,Skyler,Scott,skyler.scott@yahoo.com  ,50,male,US,2024-11-17,yes
U000054,min,Miller,min.miller6593@outlook.com,34,female,US,2025-03-01,yes
U000055,Min,Lee,min.lee@gmail.com,66,female,US,2024-01-18,yes
U000056,  Quinn ,Taylor,quinn.taylor@gmail.com,36,,Mexico,2025-11-15,yes
U000057,ISABELLA,Young,isabella.young6538@gmail.com,20,male,US,2024-09-23,no
U000058,Emma,Jones,emma.jones9422@outlook.com,16,male,US,2024-03-12,no
U000059,Sophia,Brown,sophia.brown511@yahoo.com,16,prefer_not_to_say,US,2024-03-27,yes
U000060,TAYLOR,Clark,taylor.clark@yahoo.com,35,female,US,2025-02-11,no
U000061,ANA,Torres,ANA.TORRES@PROTON.ME  ,53,male,    US    ,2024-11-16,no
U000062,Noah,Jones   ,noah.jones5161@gmail.com,52,male,Canada,2024-10-12,yes
U000063,Sophia,Miller,sophia.miller@icloud.com,34,male,US,2024-04-08,yes
U000064,Sophia,  Roberts,SOPHIA.ROBERTS@GMAIL.COM,31,female,US,2024-02-19,yes
U000065,Chris,ALLEN,chris.allen3112@gmail.com,28,male,India,2025-06-24,yes
U000066,Priya,Martinez,PRIYA.MARTINEZ@GMAIL.COM,16,male,  US ,2024-12-12,no
U000067,  Liam  ,wright,liam.wright@outlook.com,44,nonbinary,CA,2025-04-29,no
U000068,Quinn,Torres,quinn.torres1994@gmail.com,38,male,US,2024-09-24,yes
U000069,Skyler,Smith,skyler.smith@proton.me,22,female,US,2024-05-26,no
U000070,Mia  ,Nelson,mia.nelson6523@yahoo.com,32,female,Brazil,2024-10-21,yes
U000071,SYDNEY,Flores,sydney.flores@gmail.com,16,female,US,2024-11-14,yes
U000072,Omar,perez,omar.perez227@yahoo.com,30,female,US,2024-01-28,no
U000073,jordan,Scott,jordan.scott1300@yahoo.com,17,female,US,2024-07-14,yes
U000074,Reese,Harris,reese.harris7694@gmail.com,25,male,US,2024-02-02,
U000075,Taylor,Sanchez,taylor.sanchez4220@yahoo.com,41,male,U.S.,2025-01-06,yes
U000076,Morgan,Anderson,morgan.anderson9243@icloud.com,35,female,US,2024-01-24,no
U000077,Wei,gonzalez,wei.gonzalez@gmail.com,41,female,US,2025-02-06,yes
U000078,Sydney,Rivera,sydney.rivera@yahoo.com,37,female,US,2024-06-09,yes
U000079,Avery,Thomas,avery.thomas2275@gmail.com,24,female,Mexico ,2024-12-02,yes
U000080,Emerson   ,  Moore,emerson.moore965@gmail.com,42,female,usa,2024-02-25,no
U000081,Jordan,Rodriguez,jordan.rodriguez4263@outlook.com,39,male,IN,2024-01-28,
U000082,Lee,Walker,lee.walker@gmail.com,30,male,US,2024-08-21,no
U000083,Lee, Robinson,lee.robinson9196@outlook.com,63,female,US,2024-03-12,yes
U000084,Fatima,Allen,fatima.allen@outlook.com,39,female,US,2024-02-10,no
U000085,Kendall,JOHNSON,kendall.johnson1688@yahoo.com,46,female,US,2024-01-21,yes
U000086,Jesse,Torres,jesse.torres6629@outlook.com,49,female,US,2024-06-05,yes
U000087,KENDALL  ,JONES,kendall.jones9969@yahoo.com,33,prefer_not_to_say,US,2025-09-16,no
U000088,Harper,Scott,HARPER.SCOTT9011@ICLOUD.COM,57,male,MX,2025-11-22,no
U000089,Min,ALLEN,min.allen@gmail.com  ,16,male,US,2025-09-20,yes
U000090,Reese,Taylor,reese.taylor7224@gmail.com,31,female,US,2024-01-27,yes
U000091,Ava,Taylor,ava.taylor@proton.me,37,female,US,2025-09-22,yes
U000092,pat,Scott,pat.scott8806@yahoo.com ,16,male,United Kingdom,2024-12-30,yes
U000093,Noah,Robinson,noah.robinson@gmail.com,19,female,US,2024-02-20,yes
U000094,Robin,Jones,robin.jones@yahoo.com,16,female,  US      ,2025-12-14,yes
U000095,Logan  ,Taylor,logan.taylor@gmail.com,46,female,AU,2024-03-10,yes
U000096,Fatima,Lee,lee.moore@gmail.com,44,female,US,2024-07-30,no
U000097, Wei ,Hill,wei.hill6221@outlook.com,44,male,US,2025-11-15,yes
U000098,Sydney,Mitchell,sydney.mitchell@yahoo.com,51,male,United States,2025-11-16,yes
U000099,harper,Mitchell,harper.mitchell@gmail.com,24,male,usa,2025-10-09,no
U000100,Emerson,Hall,emerson.hall2788@shoply.com,45,male,US,2024-02-08,yes
U000101,sophia,Baker,sophia.baker2524@yahoo.com ,25,female,United states ,,no
U000102,Noah,Rodriguez ,noah.rodriguez@icloud.com,30,male,Brazil,2024-10-20,yes
U000103,Cameron,RAMIREZ,cameron.ramirez6259@gmail.com,32,female,Canada,2024-12-08,yes
U000104,Diego,JOHNSON,diego.johnson5568@outlook.com,27,male, US,2024-03-02,yes
U000105,Reese,Garcia   ,REESE.GARCIA@PROTON.ME,23,female,US,2025-06-23,yes
U000106,JESSE,Nguyen,jesse.nguyen@gmail.com,46,female,US,2024-03-12,yes
U000107,Emerson,Garcia,emerson.garcia@outlook.com ,22,female,United states ,2025-10-16,no
U000108,Skyler,jones,skyler.jones9132@gmail.com,39,female,US,not_a_date,yes
U000109,Olivia,Thompson,olivia.thompson@gmail.com ,40,female,us,2024-03-30,yes
U000110,harper, Baker  ,harper.baker8542@yahoo.com,16,nonbinary,UK,2025-08-19,yes
